Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,280320,-280320
3,60367,24318,308040,-283722
4,187472,75671,338787,-263116
5,322194,130215,369334,-239119
6,457301,190258,404964,-214706
7,594572,251242,440394,-189152
8,729265,311541,479824,-168283
9,3138930,1174005,511662,662343
10,3865567,1488451,545963,942488
11,4573885,1828557,580199,1248358
12,5186636,2097788,631719,1466069
13,5904030,2412177,688780,1723397
14,6376850,2625290,741841,1883449
15,9846673,3494462,822993,2671469
16,9967223,3550854,874097,2676757
17,10091161,3608750,950004,2658746
18,10456534,3906656,1006720,2899936
19,10606251,3990068,1063436,2926632
20,10758772,4054264,1120152,2934112
21,10884845,4113899,1177780,2936119
22,11114467,4275496,1235547,3039949
23,11242400,4338711,1296191,3042520
24,11401752,4408168,1361108,3047060
25,17722502,6987069,1713170,5273899
26,17885280,7085314,1773432,5311882
27,23261328,9397787,1969308,7428479
28,23410902,9484173,2046934,7437239
29,23603823,9615015,2124946,7490069
30,25472475,10358929,2280808,8078121
31,25689183,10515074,2361061,8154013
32,25811247,10577962,2537846,8040116
33,30443266,12055971,2629602,9426369
34,30580719,12128661,2699366,9429295
35,32479972,12489457,2778255,9711202
36,32721880,12641996,2854876,9787120
37,33922546,13332796,2949022,10383774
38,37067815,14433861,3065465,11368396
39,39034719,15153125,3138922,12014203
40,39680950,15322749,3249067,12073682
41,39821272,15395556,3337413,12058143
42,40297065,15560369,3417757,12142612
43,40661971,15675178,3500685,12174493
44,41137493,15841766,3591908,12249858
45,41451337,16076675,3674928,12401747
46,41853241,16249458,3843260,12406198
47,42098221,16418183,3923035,12495148
48,42197028,16461555,4005865,12455690
49,42816262,16674168,4089322,12584846
50,42950544,16746108,4172271,12573837
51,43084636,16844647,4257312,12587335
52,43208303,16915244,4365649,12549595
53,45034126,17937975,4459539,13478436
54,45649516,18307147,4550862,13756285
55,46237356,18557734,4646527,13911207
56,46531102,18748209,4739646,14008563
57,47354977,19361750,4829573,14532177
58,48101315,19711942,5082603,14629339
59,48718290,19944289,5228705,14715584
60,49442893,20084564,5315523,14769041
60,49442893,20084564,5315523,14769041
61,49516939,20134198,5424706,14709492
62,49713472,20222037,5525031,14697006
63,49890229,20375338,5610356,14764982
64,50406436,20501086,5695681,14805405
65,50623075,20676496,5811838,14864658
66,50995182,20846478,5914349,14932129
67,51211151,21021872,6034796,14987076
68,51707813,21197648,6117399,15080249
69,51841983,21277245,6202834,15074411
70,52436404,21400260,6287477,15112783
71,53027493,21539906,6375887,15164019
72,53545823,21610807,6459127,15151680
73,54193242,21800005,6565334,15234671
74,54804683,21939777,6672024,15267753
75,55960310,22111557,6782651,15328906
76,56557183,22356733,6888907,15467826
77,56746571,22488736,6997012,15491724
78,58063958,22963478,7108170,15855308
79,59664902,23797361,7213700,16583661
80,62516250,23975186,7355344,16619842
81,63133647,24330168,7462162,16868006
82,65335982,24866495,7577290,17289205
83,67592962,25437003,7683967,17753036
84,69207517,26186244,7790857,18395387
85,71147939,26698779,7878206,18820573
86,71271759,26769207,7962134,18807073
87,72042947,27046439,8043877,19002562
88,72872707,27294306,8134491,19159815
89,74088113,27520999,8224373,19296626
90,77199114,28363304,8349044,20014260
